CustomerID,ChurnStatus,LastLoginDate,LoginFrequency,ServiceUsage,AmountSpent,ProductCategory,ResolutionStatus,Recency
1,0,2023-10-21,34,Mobile App,416.5,Electronics,Resolved,557
2,1,2023-12-05,5,Website,1547.42,Electronics,Resolved,512
3,0,2023-11-15,3,Website,1702.98,Furniture,Resolved,532
4,0,2023-08-25,2,Website,917.29,Electronics,Neutral,614
5,0,2023-10-27,41,Website,2001.49,Electronics,None,551
6,0,2023-09-17,2,Website,1164.29,Furniture,Resolved,591
7,0,2023-01-07,32,Mobile App,86.73,Books,None,844
8,1,2023-04-22,17,Online Banking,2046.88,Books,Unresolved,739
9,0,2023-06-27,24,Website,1317.24,Clothing,Resolved,673
10,1,2023-01-13,29,Online Banking,1397.36,Furniture,None,838
11,0,2023-01-22,30,Online Banking,1733.83,Books,Neutral,829
12,0,2023-12-31,43,Website,87.1,Electronics,Neutral,486
13,0,2023-07-05,10,Mobile App,392.02,Books,Resolved,665
14,0,2023-01-10,26,Online Banking,2843.59,Groceries,Neutral,841
15,0,2023-06-15,44,Online Banking,1914.02,Books,Unresolved,685
16,1,2023-03-15,41,Online Banking,2019.79,Books,Resolved,777
17,0,2023-09-03,8,Online Banking,1625.27,Electronics,Neutral,605
18,1,2023-11-24,37,Website,951.38,Books,Unresolved,523
19,0,2023-03-08,39,Online Banking,1017.26,Furniture,Unresolved,784
20,0,2023-08-15,16,Website,2775.85,Clothing,Resolved,624
21,0,2023-06-16,18,Website,913.02,Books,None,684
22,0,2023-05-06,42,Mobile App,1582.73,Furniture,Resolved,725
23,0,2023-07-07,19,Mobile App,1490.74,Books,Neutral,663
24,0,2023-10-04,12,Mobile App,1143.22,Clothing,Resolved,574
25,0,2023-02-15,27,Mobile App,764.77,Groceries,Resolved,805
26,1,2023-09-29,45,Mobile App,571.76,Books,Resolved,579
27,0,2023-10-01,22,Mobile App,2210.6,Clothing,Unresolved,577
28,0,2023-10-26,42,Online Banking,1702.26,Electronics,Unresolved,552
29,0,2023-09-02,34,Website,853.07,Clothing,Neutral,606
30,0,2023-07-12,38,Website,706.66,Books,Neutral,658
31,0,2023-08-17,23,Online Banking,1108.56,Books,Resolved,622
32,0,2023-01-06,48,Mobile App,1225.52,Groceries,None,845
33,1,2023-05-19,24,Mobile App,689.0,Clothing,Resolved,712
34,0,2023-04-03,44,Online Banking,1886.4,Clothing,Neutral,758
35,0,2023-05-23,19,Mobile App,779.84,Books,Unresolved,708
36,0,2023-02-11,6,Online Banking,1321.55,Electronics,Resolved,809
37,0,2023-08-28,3,Online Banking,3166.88,Clothing,Resolved,611
38,0,2023-11-27,47,Online Banking,874.86,Groceries,Resolved,520
39,0,2023-01-20,26,Online Banking,1191.94,Electronics,None,831
40,0,2023-10-14,20,Website,1578.35,Groceries,Resolved,564
41,1,2023-07-04,38,Mobile App,363.22,Clothing,Unresolved,666
42,0,2023-07-17,10,Mobile App,530.61,Books,None,653
43,0,2023-05-25,25,Mobile App,2213.63,Clothing,Neutral,706
44,0,2023-11-13,35,Mobile App,687.82,Groceries,Unresolved,534
45,0,2023-09-02,49,Online Banking,300.42,Groceries,Unresolved,606
46,1,2023-07-31,24,Online Banking,134.67,Electronics,None,639
47,0,2023-04-19,21,Website,1466.37,Furniture,None,742
48,0,2023-06-12,34,Website,1597.29,Books,None,688
49,0,2023-02-19,18,Online Banking,641.48,Books,None,801
50,0,2023-07-15,19,Online Banking,1514.62,Groceries,Unresolved,655
51,1,2023-10-31,3,Mobile App,549.86,Books,None,547
52,0,2023-02-16,6,Mobile App,401.25,Groceries,None,804
53,0,2023-10-02,20,Mobile App,1255.34,Groceries,None,576
54,0,2023-01-20,22,Online Banking,461.21,Books,Resolved,831
55,0,2023-08-18,33,Website,1129.35,Clothing,None,621
56,0,2023-08-20,14,Mobile App,1443.46,Books,None,619
57,0,2023-07-20,44,Online Banking,597.75,Books,Unresolved,650
58,0,2023-04-17,9,Online Banking,2215.82,Clothing,Unresolved,744
59,0,2023-12-11,45,Online Banking,292.51,Electronics,None,506
60,0,2023-03-02,25,Mobile App,781.09,Books,Neutral,790
61,1,2023-12-27,47,Website,678.97,Electronics,Resolved,490
62,0,2023-08-27,16,Mobile App,840.0,Books,Resolved,612
63,0,2023-05-26,7,Mobile App,2205.11,Furniture,None,705
64,0,2023-06-03,11,Online Banking,965.21,Clothing,None,697
65,0,2023-09-25,27,Mobile App,1359.89,Electronics,None,583
66,0,2023-08-17,40,Online Banking,1409.11,Groceries,None,622
67,0,2023-07-23,17,Online Banking,701.76,Clothing,Resolved,647
68,1,2023-07-25,5,Website,886.48,Books,Unresolved,645
69,0,2023-11-13,29,Mobile App,1038.53,Books,Resolved,534
70,0,2023-03-15,10,Mobile App,2453.98,Furniture,None,777
71,1,2023-08-17,47,Online Banking,474.59,Groceries,Neutral,622
72,1,2023-04-25,25,Online Banking,1080.4,Clothing,Neutral,736
73,1,2023-10-27,24,Online Banking,2254.22,Clothing,Resolved,551
74,0,2023-02-19,44,Mobile App,2083.79,Clothing,Resolved,801
75,1,2023-06-17,12,Mobile App,769.97,Books,Resolved,683
76,1,2023-05-09,5,Website,883.92,Books,Neutral,722
77,0,2023-10-15,29,Online Banking,1797.06,Clothing,None,563
78,0,2023-10-07,35,Mobile App,816.89,Groceries,Unresolved,571
79,1,2023-04-20,23,Online Banking,931.32,Books,Resolved,741
80,0,2023-06-09,32,Mobile App,110.82,Furniture,None,691
81,1,2023-12-03,40,Website,2181.77,Books,None,514
82,0,2023-05-08,19,Mobile App,232.38,Clothing,None,723
83,0,2023-12-31,25,Mobile App,1419.92,Clothing,Unresolved,486
84,0,2023-11-30,45,Online Banking,1545.91,Furniture,None,517
85,0,2023-08-08,37,Mobile App,1690.08,Groceries,None,631
86,0,2023-10-18,1,Website,1674.66,Clothing,None,560
87,0,2023-11-22,43,Website,1411.84,Clothing,Neutral,525
88,0,2023-02-08,13,Online Banking,447.34,Clothing,None,812
89,0,2023-09-06,12,Mobile App,1951.99,Electronics,None,602
90,0,2023-05-30,47,Online Banking,1229.96,Books,Resolved,701
91,0,2023-02-03,43,Mobile App,1804.74,Books,Neutral,817
92,0,2023-07-01,37,Mobile App,2265.28,Groceries,Neutral,669
93,0,2023-10-16,42,Mobile App,848.07,Books,Resolved,562
94,0,2023-06-27,41,Website,1113.61,Furniture,None,673
95,0,2023-06-20,12,Online Banking,677.27,Clothing,Resolved,680
96,0,2023-02-27,36,Mobile App,161.84,Electronics,Unresolved,793
97,0,2023-12-20,38,Website,553.65,Furniture,Resolved,497
98,0,2023-05-23,9,Mobile App,893.76,Electronics,Resolved,708
99,0,2023-02-10,14,Online Banking,889.75,Groceries,None,810
100,1,2023-06-02,45,Online Banking,1108.56,Clothing,Resolved,698
101,0,2023-01-15,35,Online Banking,492.35,Groceries,Neutral,836
102,0,2023-01-14,32,Online Banking,2029.96,Electronics,Neutral,837
103,0,2023-04-27,46,Mobile App,2297.73,Furniture,Resolved,734
104,1,2023-03-23,3,Online Banking,2666.84,Electronics,Neutral,769
105,0,2023-12-24,30,Website,1863.6,Furniture,Unresolved,493
106,0,2023-07-20,49,Mobile App,875.08,Clothing,Neutral,650
107,1,2023-01-27,7,Online Banking,1542.76,Clothing,None,824
108,1,2023-03-24,1,Mobile App,494.31,Books,Unresolved,768
109,0,2023-04-28,20,Mobile App,1274.7,Books,Unresolved,733
110,1,2023-10-10,25,Website,723.0,Books,Resolved,568
111,1,2023-06-17,33,Website,613.18,Books,Unresolved,683
112,0,2023-10-16,35,Website,750.17,Books,Resolved,562
113,0,2023-04-12,44,Online Banking,1834.01,Books,Unresolved,749
114,0,2023-08-02,24,Website,2133.28,Books,None,637
115,0,2023-09-21,14,Mobile App,653.62,Clothing,None,587
116,0,2023-08-20,39,Mobile App,1504.28,Books,Resolved,619
117,0,2023-12-25,44,Online Banking,448.48,Clothing,None,492
118,0,2023-10-01,34,Online Banking,1625.39,Clothing,Unresolved,577
119,1,2023-03-29,18,Mobile App,2012.33,Groceries,Resolved,763
120,0,2023-02-23,2,Online Banking,1168.79,Books,Neutral,797
121,0,2023-09-09,38,Mobile App,1073.01,Furniture,Neutral,599
122,1,2023-06-14,17,Mobile App,2825.52,Groceries,Resolved,686
123,1,2023-03-15,23,Mobile App,938.58,Groceries,Resolved,777
124,0,2023-02-19,33,Website,2283.88,Books,Resolved,801
125,0,2023-06-21,28,Online Banking,744.89,Electronics,None,679
126,0,2023-05-14,15,Website,2323.02,Clothing,None,717
127,0,2023-01-18,11,Website,1976.17,Furniture,Resolved,833
128,1,2023-07-07,23,Website,630.2,Books,Neutral,663
129,0,2023-03-21,13,Website,243.55,Books,Resolved,771
130,0,2023-02-25,47,Mobile App,552.23,Electronics,Unresolved,795
131,0,2023-09-24,11,Website,2726.7,Electronics,Resolved,584
132,0,2023-06-15,36,Website,1879.94,Electronics,None,685
133,0,2023-04-13,38,Mobile App,896.27,Electronics,Resolved,748
134,0,2023-01-05,27,Mobile App,1570.08,Clothing,Unresolved,846
135,0,2023-06-19,18,Mobile App,441.75,Books,None,681
136,0,2023-11-07,40,Mobile App,419.86,Books,None,540
137,1,2023-06-19,38,Online Banking,431.47,Electronics,None,681
138,0,2023-03-20,34,Online Banking,2804.65,Clothing,Unresolved,772
139,0,2023-06-03,22,Website,2045.49,Electronics,Neutral,697
140,0,2023-10-21,18,Mobile App,1024.23,Clothing,Resolved,557
141,0,2023-06-28,41,Online Banking,2483.75,Clothing,Resolved,672
142,0,2023-04-27,18,Mobile App,1391.99,Books,Unresolved,734
143,0,2023-12-25,13,Website,343.27,Books,Resolved,492
144,1,2023-02-18,39,Online Banking,419.85,Electronics,Resolved,802
145,0,2023-10-11,16,Online Banking,1768.7,Books,Unresolved,567
146,0,2023-12-12,8,Mobile App,1373.73,Clothing,None,505
147,0,2023-09-02,34,Mobile App,2260.34,Clothing,Neutral,606
148,0,2023-03-09,29,Website,13.04,Groceries,Neutral,783
149,0,2023-02-17,6,Online Banking,444.84,Books,Resolved,803
150,0,2023-06-29,38,Mobile App,1193.26,Books,None,671
151,0,2023-06-02,36,Mobile App,334.2,Furniture,Neutral,698
152,0,2023-09-30,48,Mobile App,1448.8,Furniture,None,578
153,0,2023-01-26,42,Online Banking,1735.16,Groceries,Unresolved,825
154,0,2023-04-19,26,Mobile App,1753.55,Books,None,742
155,0,2023-04-08,18,Website,1883.08,Clothing,Resolved,753
156,0,2023-06-30,11,Mobile App,702.92,Books,None,670
157,0,2023-06-13,27,Mobile App,2412.68,Groceries,None,687
158,0,2023-10-03,30,Online Banking,1471.29,Books,None,575
159,0,2023-05-11,18,Website,25.75,Electronics,Unresolved,720
160,1,2023-05-02,43,Online Banking,2053.13,Books,Neutral,729
161,0,2023-07-24,4,Mobile App,1983.84,Electronics,Unresolved,646
162,0,2023-06-11,6,Mobile App,425.88,Books,Neutral,689
163,0,2023-01-13,22,Mobile App,1064.88,Books,Neutral,838
164,1,2023-11-25,2,Website,955.49,Books,Resolved,522
165,0,2023-03-01,47,Mobile App,181.34,Clothing,None,791
166,0,2023-08-03,48,Online Banking,1241.5,Furniture,Resolved,636
167,0,2023-03-03,40,Website,2356.35,Books,Resolved,789
168,1,2023-08-29,32,Website,1126.93,Electronics,Neutral,610
169,0,2023-06-18,39,Mobile App,2164.75,Furniture,Unresolved,682
170,1,2023-10-12,21,Website,1448.33,Books,Unresolved,566
171,0,2023-05-04,8,Mobile App,2532.71,Books,Resolved,727
172,0,2023-12-12,25,Website,1972.76,Furniture,Neutral,505
173,0,2023-10-22,41,Mobile App,606.09,Books,Resolved,556
174,1,2023-03-09,36,Mobile App,1801.46,Books,Unresolved,783
175,0,2023-11-27,4,Website,1218.9,Books,Neutral,520
